"112年07月21日 每5秒指數統計"
"時間","發行量加權股價指數","未含金融保險股指數","未含電子股指數","未含金融電子股指數","水泥類指數","食品類指數","塑膠類指數","紡織纖維類指數","電機機械類指數","電器電纜類指數","化學生技醫療類指數","化學類指數","生技醫療類指數","玻璃陶瓷類指數","造紙類指數","鋼鐵類指數","橡膠類指數","汽車類指數","電子類指數","半導體類指數","電腦及週邊設備類指數","光電類指數","通信網路類指數","電子零組件類指數","電子通路類指數","資訊服務類指數","其他電子類指數","建材營造類指數","航運類指數","觀光餐旅類指數","金融保險類指數","貿易百貨類指數","油電燃氣類指數","綠能環保類指數","數位雲端類指數","運動休閒類指數","居家生活類指數","其他類指數",
="09:24:05","16,937.93","14,663.48","18,388.69","15,162.74","163.62","2,102.84","229.13","599.35","319.44","107.64","130.10","153.44","75.25","50.61","378.15","144.09","244.06","420.42","824.43","373.92","238.53","37.31","137.50","193.80","186.36","175.38","105.20","374.35","145.93","144.15","1,664.69","291.32","106.91","93.95","93.71","98.81","94.82","379.39",
="09:24:10","16,939.92","14,664.95","18,391.17","15,164.01","163.69","2,103.18","229.13","599.35","319.56","107.71","130.13","153.43","75.30","50.61","378.15","144.11","244.06","420.46","824.52","373.97","238.48","37.32","137.50","193.87","186.37","175.62","105.22","374.35","145.89","144.16","1,665.10","291.30","106.91","93.95","93.73","98.79","94.84","379.52",
="09:24:15","16,940.80","14,665.65","18,392.75","15,165.33","163.56","2,103.20","229.13","599.35","319.53","107.72","130.09","153.43","75.25","50.61","378.27","144.09","244.06","420.55","824.55","373.93","238.64","37.31","137.50","193.86","186.36","175.62","105.24","374.35","146.04","144.11","1,665.24","291.30","106.91","93.95","93.77","98.84","94.84","379.52",
="09:24:20","16,941.11","14,666.19","18,391.48","15,164.66","163.69","2,103.19","229.04","599.36","319.47","107.72","130.10","153.39","75.28","50.61","378.63","144.09","244.04","420.48","824.60","373.91","238.63","37.32","137.76","193.84","186.37","175.62","105.24","374.36","146.04","144.12","1,665.03","291.30","106.91","93.95","93.77","98.84","94.84","379.47",
="09:24:25","16,932.75","14,658.46","18,389.44","15,163.86","163.75","2,103.57","229.05","599.36","319.54","107.71","130.08","153.42","75.25","50.50","378.51","144.08","244.33","420.50","824.01","373.43","238.67","37.32","137.76","193.90","186.38","175.62","105.23","374.36","145.92","144.12","1,664.63","291.30","106.91","93.95","93.77","98.81","94.84","379.47",
="09:24:30","16,942.56","14,667.96","18,390.21","15,164.41","163.75","2,104.02","229.15","599.36","319.45","107.72","130.06","153.37","75.25","50.50","378.57","144.07","244.33","420.50","824.75","373.92","238.70","37.31","137.53","193.89","186.38","175.62","105.56","374.34","146.04","144.12","1,664.72","290.65","106.91","93.95","93.79","98.80","94.84","379.47",
="09:24:35","16,942.84","14,668.19","18,389.99","15,163.96","163.75","2,103.80","229.04","599.36","319.53","107.74","130.06","153.38","75.24","50.50","378.69","144.07","244.33","420.49","824.78","373.92","238.78","37.32","137.50","193.91","186.33","175.64","105.56","374.31","146.04","144.10","1,664.77","290.65","106.91","93.95","93.79","98.80","94.84","379.56",
="09:24:40","16,943.18","14,668.39","18,389.08","15,162.40","163.56","2,103.80","229.04","599.36","319.43","107.64","130.08","153.38","75.26","50.50","378.69","144.20","244.33","420.40","824.83","373.95","238.84","37.32","137.50","193.90","186.34","175.64","105.52","374.32","145.90","144.09","1,664.88","290.65","106.91","93.87","93.77","98.80","94.84","379.68",
="09:24:45","16,943.47","14,668.45","18,390.61","15,163.44","163.56","2,103.80","229.12","599.36","319.38","107.72","130.10","153.38","75.28","50.50","378.69","144.22","244.33","420.46","824.81","373.95","238.79","37.32","137.50","193.90","186.33","175.72","105.52","374.32","145.90","144.09","1,665.08","290.65","106.91","93.87","93.77","98.79","94.84","379.68",
="09:24:50","16,943.86","14,668.91","18,388.93","15,161.72","163.68","2,104.18","228.94","599.31","319.48","107.72","130.08","153.38","75.27","50.50","378.75","144.09","244.33","420.41","824.88","373.95","238.87","37.31","137.52","193.91","186.33","175.72","105.58","374.32","145.92","144.08","1,665.01","290.65","106.91","93.87","93.77","98.80","94.84","379.62",
="09:24:55","16,943.90","14,668.79","18,389.92","15,162.32","163.68","2,104.11","228.93","599.31","319.42","107.66","130.09","153.38","75.27","50.50","378.75","144.22","244.33","420.50","824.86","373.96","238.87","37.31","137.52","193.83","186.34","175.70","105.58","374.32","145.92","144.05","1,665.15","290.65","106.91","93.87","93.75","98.80","94.84","379.62",
="09:25:00","16,936.18","14,661.42","18,389.83","15,162.89","163.74","2,104.00","229.02","599.32","319.33","107.67","130.11","153.41","75.28","50.50","378.75","144.23","244.33","420.36","824.27","373.44","238.85","37.31","137.78","193.78","186.35","175.99","105.60","374.32","146.01","144.03","1,664.99","290.65","106.79","93.95","93.77","98.82","94.84","379.62",
="09:25:05","16,945.43","14,670.31","18,388.14","15,160.25","163.74","2,102.55","229.03","599.40","319.32","107.66","130.13","153.38","75.32","50.50","378.89","144.10","244.33","420.23","825.03","373.92","239.17","37.31","137.79","193.79","186.35","175.99","105.57","374.31","145.89","143.98","1,665.13","290.65","106.79","93.95","93.75","98.86","94.84","379.60",
="09:25:10","16,945.85","14,670.35","18,390.42","15,161.69","163.61","2,104.00","229.01","599.40","319.20","107.58","130.11","153.40","75.28","50.50","378.89","144.21","244.33","420.30","825.00","373.92","239.23","37.31","137.53","193.91","186.35","176.01","105.57","374.33","146.04","143.99","1,665.45","290.65","106.79","93.95","93.77","98.80","94.84","379.61",
="09:25:15","16,947.78","14,671.99","18,391.46","15,162.04","163.74","2,104.00","229.01","599.40","319.27","107.67","130.11","153.38","75.29","50.50","378.94","144.22","244.33","420.35","825.12","373.96","239.36","37.31","137.54","193.91","186.35","176.06","105.58","374.29","146.02","143.99","1,665.66","290.65","106.79","93.95","93.77","98.80","94.84","379.43",
="09:25:20","16,947.20","14,671.76","18,390.56","15,162.19","163.74","2,104.00","229.02","599.39","319.26","107.65","130.11","153.37","75.30","50.50","378.83","144.22","244.33","420.35","825.10","373.93","239.39","37.31","137.54","193.93","186.35","176.04","105.58","374.31","146.02","143.97","1,665.37","290.65","106.79","93.95","93.77","98.78","94.84","379.54",
="09:25:25","16,947.59","14,672.95","18,388.16","15,162.17","163.74","2,104.01","229.00","599.39","319.25","107.66","130.11","153.37","75.29","50.50","378.83","144.22","244.18","420.35","825.19","373.91","239.34","37.31","137.52","193.88","186.36","175.75","105.90","374.31","146.07","144.04","1,664.67","290.65","106.79","93.87","93.77","98.78","94.84","379.53",
="09:25:30","16,947.56","14,672.92","18,386.62","15,160.33","163.74","2,103.79","229.00","599.39","319.02","107.65","130.09","153.33","75.30","50.50","378.83","144.24","244.18","420.35","825.23","373.91","239.39","37.32","137.52","193.91","186.36","175.78","105.90","374.31","145.97","144.02","1,664.67","290.65","106.79","93.87","93.79","98.78","94.84","379.54",
="09:25:35","16,949.17","14,673.46","18,389.28","15,159.82","163.68","2,103.45","228.99","599.12","319.02","107.63","130.11","153.38","75.29","50.50","378.83","144.24","244.18","420.30","825.29","373.91","239.28","37.32","137.77","193.93","186.36","175.78","105.90","374.31","145.97","144.01","1,665.57","290.66","106.79","93.87","93.79","98.81","94.84","379.54",
="09:25:40","16,950.12","14,674.30","18,391.13","15,161.72","163.74","2,103.51","229.11","599.12","319.05","107.64","130.10","153.37","75.29","50.50","378.83","144.24","244.18","420.30","825.31","373.99","239.51","37.32","137.81","193.85","186.36","175.78","105.59","374.27","146.00","143.99","1,665.65","290.66","106.80","93.87","93.90","98.78","94.84","379.66",
="09:25:45","16,949.57","14,673.85","18,394.04","15,165.48","163.74","2,105.05","229.11","599.40","319.11","107.64","130.10","153.37","75.29","50.50","378.47","144.24","244.18","420.36","825.19","373.95","239.48","37.32","137.57","193.93","186.36","175.76","105.60","374.05","146.17","143.99","1,665.58","291.30","106.80","93.86","93.92","98.81","94.84","379.67",
="09:25:50","16,952.39","14,676.11","18,395.89","15,165.94","163.74","2,105.16","229.11","599.40","319.11","107.71","130.11","153.37","75.30","50.61","378.53","144.24","244.34","420.39","825.36","373.97","239.48","37.32","137.58","193.89","186.47","175.78","105.90","374.05","146.16","143.95","1,666.01","291.30","106.80","93.86","93.66","98.85","94.84","379.67",
="09:25:55","16,952.63","14,675.89","18,397.15","15,165.79","163.74","2,105.34","229.11","599.40","319.09","107.63","130.15","153.45","75.30","50.61","378.53","144.28","244.34","420.23","825.35","373.97","239.52","37.32","137.56","193.83","186.38","175.80","105.90","374.01","146.17","143.93","1,666.41","291.32","106.80","93.86","93.66","98.84","94.84","379.67",
="09:26:00","16,943.65","14,667.09","18,395.09","15,163.33","163.74","2,105.28","228.91","599.13","319.14","107.64","130.13","153.46","75.28","50.61","378.53","144.28","244.38","420.33","824.70","373.48","239.50","37.32","137.57","193.83","186.38","175.78","105.91","374.05","146.07","143.96","1,666.41","291.25","106.80","93.86","93.68","98.84","94.84","379.67",
="09:26:05","16,948.02","14,672.23","18,391.49","15,162.09","163.74","2,105.34","228.92","599.06","319.15","107.64","130.15","153.45","75.31","50.61","378.53","144.16","244.40","420.27","825.14","373.96","239.37","37.32","137.54","193.92","186.45","175.80","105.59","374.05","146.04","144.01","1,665.66","291.25","106.80","93.86","93.66","98.83","94.84","379.67",
="09:26:10","16,949.13","14,673.39","18,392.07","15,163.06","163.74","2,105.34","228.92","599.06","319.22","107.64","130.13","153.40","75.31","50.59","378.53","144.28","244.40","420.25","825.21","374.01","239.36","37.32","137.54","193.93","186.39","175.78","105.60","374.05","146.05","144.01","1,665.59","291.23","106.79","93.86","93.66","98.83","94.84","379.67",
="09:26:15","16,949.77","14,674.24","18,391.51","15,163.18","163.80","2,105.34","228.92","599.06","319.23","107.64","130.11","153.41","75.28","50.59","378.53","144.26","244.40","420.24","825.27","374.02","239.27","37.32","137.78","193.92","186.53","175.60","105.61","374.10","146.04","144.02","1,665.40","291.23","106.79","93.86","93.70","98.83","94.84","379.67",
="09:26:20","16,948.35","14,673.04","18,391.32","15,163.63","163.74","2,105.34","228.92","599.06","319.24","107.63","130.10","153.41","75.26","50.59","378.53","144.26","244.40","420.18","825.17","374.01","239.23","37.33","137.53","193.92","186.54","175.64","105.61","374.05","146.12","144.07","1,665.24","291.23","106.79","93.86","93.70","98.85","94.84","379.67",
="09:26:25","16,939.69","14,664.89","18,389.60","15,162.73","163.75","2,105.34","228.92","599.06","319.12","107.65","130.09","153.41","75.26","50.58","378.53","144.13","244.40","420.16","824.54","373.53","239.29","37.32","137.50","193.92","186.54","175.62","105.61","374.05","146.17","144.09","1,664.96","291.24","106.79","93.86","93.70","98.85","94.84","379.67",
="09:26:30","16,939.89","14,664.97","18,389.18","15,161.80","163.82","2,105.34","228.92","599.06","319.13","107.63","130.09","153.41","75.25","50.58","378.71","144.25","244.40","420.18","824.57","373.46","239.24","37.32","137.49","193.88","186.54","175.63","105.90","374.07","146.13","144.09","1,665.06","291.24","106.67","93.86","93.70","98.85","94.84","379.45",
="09:26:35","16,937.00","14,661.94","18,388.10","15,159.81","163.63","2,105.11","228.92","599.02","319.05","107.63","130.07","153.39","75.25","50.58","378.41","144.23","244.40","420.08","824.37","373.49","239.11","37.32","137.49","193.87","186.46","175.63","105.59","374.07","146.15","144.11","1,665.23","291.24","106.67","93.86","93.68","98.79","94.84","379.42",
="09:26:40","16,940.25","14,665.05","18,387.99","15,159.43","163.82","2,105.11","228.92","599.02","318.94","107.62","130.05","153.35","75.24","50.58","378.47","144.12","244.38","420.08","824.63","373.48","239.07","37.32","137.74","193.90","186.47","175.61","105.91","374.06","146.17","144.14","1,665.29","291.24","106.67","93.86","93.68","98.79","94.84","379.43",
="09:26:45","16,947.66","14,672.14","18,390.24","15,161.50","163.82","2,104.99","229.01","599.14","319.04","107.62","130.03","153.32","75.23","50.58","378.24","144.13","244.38","420.09","825.14","373.98","239.04","37.32","137.49","193.91","186.46","175.61","105.85","374.06","146.17","144.14","1,665.44","291.22","106.79","93.86","93.68","98.82","94.84","379.42",
="09:26:50","16,947.96","14,672.69","18,390.83","15,163.16","163.75","2,105.02","229.01","599.14","319.19","107.61","130.05","153.31","75.26","50.58","378.30","144.13","244.38","420.07","825.15","373.97","239.07","37.32","137.49","193.91","186.47","175.68","105.86","374.06","146.30","144.14","1,665.21","291.24","106.79","93.86","93.68","98.79","94.84","379.42",
="09:26:55","16,947.67","14,672.74","18,389.98","15,163.31","163.82","2,104.92","229.01","599.40","319.04","107.61","130.05","153.32","75.26","50.58","378.22","144.13","244.38","420.12","825.15","373.99","238.97","37.34","137.49","193.93","186.47","175.68","105.86","374.06","146.30","144.17","1,664.92","291.24","106.80","93.86","93.70","98.80","94.84","379.42",
="09:27:00","16,948.78","14,673.42","18,391.71","15,163.96","163.82","2,105.53","229.01","599.41","319.04","107.61","130.02","153.26","75.24","50.58","378.22","144.25","244.38","420.12","825.19","373.98","239.13","37.34","137.46","193.91","186.47","175.68","105.86","374.06","146.30","144.20","1,665.27","291.19","106.80","93.86","93.70","98.80","94.84","379.36",
="09:27:05","16,948.41","14,672.75","18,391.15","15,162.19","163.80","2,105.52","229.01","599.02","318.80","107.61","130.02","153.26","75.25","50.57","378.09","144.24","244.40","420.08","825.18","373.98","239.13","37.34","137.44","193.89","186.54","175.68","105.86","374.06","146.34","144.21","1,665.54","291.19","106.80","93.86","93.70","98.70","94.84","379.35",
="09:27:10","16,946.86","14,671.36","18,389.07","15,160.12","163.80","2,105.14","229.01","599.02","318.80","107.60","130.03","153.29","75.25","50.57","377.68","144.21","244.40","420.08","825.11","373.92","239.17","37.34","137.44","193.88","186.54","175.70","105.86","374.07","146.22","144.21","1,665.43","290.87","106.80","93.86","93.70","98.70","94.84","379.43",
="09:27:15","16,947.93","14,672.29","18,390.73","15,161.69","163.68","2,105.02","229.10","599.02","318.80","107.68","129.98","153.23","75.22","50.46","377.92","144.21","244.40","420.08","825.15","373.97","239.15","37.33","137.47","193.85","186.54","175.70","105.86","374.11","146.36","144.25","1,665.54","290.87","106.80","93.86","93.72","98.70","94.84","379.43",
="09:27:20","16,940.36","14,664.69","18,391.80","15,162.30","163.61","2,105.06","229.10","599.02","318.80","107.66","129.97","153.20","75.22","50.49","377.92","144.21","244.40","420.10","824.54","373.50","239.09","37.34","137.46","193.87","186.55","175.66","105.86","374.11","146.41","144.26","1,665.70","290.85","106.80","93.86","93.70","98.75","94.84","379.45",
="09:27:25","16,948.39","14,672.57","18,391.72","15,162.28","163.80","2,104.76","229.10","599.02","318.76","107.60","129.99","153.23","75.23","50.49","377.81","144.21","244.40","420.05","825.16","373.99","239.12","37.31","137.49","193.83","186.55","175.73","105.86","374.10","146.31","144.25","1,665.68","290.85","106.80","93.86","93.74","98.74","94.84","379.74",
="09:27:30","16,939.01","14,663.81","18,389.76","15,161.44","163.74","2,104.99","229.02","599.02","318.85","107.60","130.00","153.26","75.23","50.49","377.75","144.21","244.40","419.98","824.49","373.50","239.12","37.34","137.74","193.87","186.55","175.73","105.55","374.10","146.27","144.25","1,665.32","290.85","106.80","93.86","93.74","98.74","94.84","379.74",
="09:27:35","16,946.48","14,670.74","18,392.46","15,163.31","163.80","2,105.48","229.02","599.02","318.78","107.59","130.02","153.29","75.24","50.59","377.75","144.20","244.40","419.99","824.99","373.99","239.08","37.34","137.47","193.86","186.62","175.71","105.55","374.10","146.40","144.21","1,665.65","290.85","106.80","93.86","93.87","98.74","94.84","379.74",
="09:27:40","16,938.13","14,662.21","18,394.13","15,164.03","163.81","2,105.60","229.05","598.94","318.69","107.60","130.04","153.29","75.27","50.59","377.75","144.20","244.40","419.99","824.30","373.47","239.11","37.31","137.46","193.84","186.62","175.73","105.55","374.08","146.43","144.21","1,665.96","290.85","106.79","93.86","94.00","98.77","94.83","379.72",
="09:27:45","16,950.37","14,674.16","18,393.23","15,162.82","163.81","2,105.60","228.94","599.37","318.76","107.60","130.03","153.26","75.27","50.57","377.87","144.07","244.36","419.99","825.27","373.96","239.11","37.31","137.76","193.96","186.62","175.82","105.86","374.08","146.44","144.22","1,665.99","290.85","106.79","93.78","94.00","98.77","94.83","379.71",
="09:27:50","16,952.10","14,675.42","18,393.93","15,162.15","163.75","2,105.44","229.02","599.20","318.76","107.59","130.00","153.23","75.24","50.57","377.87","144.20","244.40","419.91","825.39","374.03","239.12","37.34","137.78","193.91","186.62","175.82","105.88","374.08","146.33","144.23","1,666.36","290.85","106.79","93.78","94.00","98.78","94.83","379.61",
="09:27:55","16,952.46","14,675.78","18,392.82","15,160.82","163.82","2,105.44","229.03","598.94","318.75","107.59","129.99","153.20","75.24","50.57","377.87","144.06","244.40","419.87","825.45","374.06","239.13","37.34","137.79","193.98","186.61","175.81","105.84","374.05","146.33","144.15","1,666.36","290.85","106.79","93.78","93.98","98.79","94.83","379.61",
="09:28:00","16,951.45","14,675.01","18,393.45","15,162.37","163.75","2,105.44","229.04","598.94","318.83","107.59","129.99","153.20","75.24","50.57","377.93","144.18","244.40","419.90","825.35","374.01","239.15","37.34","137.76","193.92","186.61","175.81","105.84","374.06","146.34","144.18","1,666.17","290.85","106.79","93.78","94.02","98.79","94.83","379.69",
="09:28:05","16,952.50","14,676.64","18,393.61","15,164.71","163.82","2,105.44","229.04","598.94","318.72","107.60","130.01","153.25","75.24","50.57","377.93","144.18","244.40","419.90","825.43","374.05","239.12","37.36","137.76","193.95","186.61","175.83","105.85","374.06","146.49","144.18","1,665.64","290.85","106.79","93.78","94.00","98.83","95.02","379.76",
="09:28:10","16,945.22","14,669.63","18,393.15","15,164.57","163.82","2,105.40","229.04","598.96","318.61","107.60","130.01","153.24","75.25","50.57","377.93","144.19","244.40","419.87","824.88","373.62","239.05","37.36","137.77","194.01","186.69","175.90","105.85","374.06","146.49","144.17","1,665.54","290.85","106.79","93.90","94.02","98.83","95.02","379.75",
="09:28:15","16,954.96","14,678.99","18,392.63","15,163.35","163.82","2,105.35","229.03","598.96","318.63","107.57","130.01","153.24","75.25","50.57","377.93","144.07","244.40","419.83","825.64","374.20","239.08","37.36","137.77","194.02","186.69","176.17","105.85","374.06","146.48","144.14","1,665.69","290.85","106.80","93.90","94.02","98.85","95.02","379.71",
="09:28:20","16,955.33","14,679.43","18,393.12","15,164.20","163.75","2,105.35","229.03","599.22","318.62","107.57","130.03","153.28","75.25","50.57","377.93","144.18","244.40","419.81","825.66","374.17","239.18","37.36","137.77","194.05","186.69","176.16","105.84","374.06","146.47","144.15","1,665.62","290.85","106.80","93.90","94.02","98.85","95.02","379.70",
="09:28:25","16,944.25","14,668.35","18,393.16","15,163.40","163.75","2,105.35","229.04","599.22","318.62","107.67","130.04","153.27","75.27","50.58","377.93","144.20","244.40","419.83","824.80","373.67","239.06","37.36","137.75","194.11","186.69","176.16","105.53","374.06","146.36","144.18","1,665.83","290.85","106.80","93.90","93.85","98.84","95.02","379.70",
="09:28:30","16,953.53","14,677.57","18,390.54","15,160.77","163.75","2,105.60","228.97","599.22","318.55","107.67","130.05","153.28","75.28","50.58","378.04","144.07","244.40","419.83","825.59","374.20","239.31","37.36","137.75","194.08","186.69","176.13","105.53","374.02","146.30","144.16","1,665.70","290.85","106.80","93.82","93.98","98.77","95.02","379.70",
="09:28:35","16,951.67","14,676.25","18,388.84","15,160.54","163.77","2,105.60","228.97","599.22","318.54","107.59","130.05","153.25","75.29","50.48","378.16","144.07","244.40","419.80","825.49","374.13","239.25","37.36","137.75","194.09","186.69","176.15","105.54","374.02","146.32","144.13","1,665.27","290.85","106.80","93.82","93.98","98.77","95.01","379.70",
="09:28:40","16,955.80","14,680.24","18,391.05","15,162.97","163.96","2,105.47","228.97","598.86","318.47","107.66","130.11","153.32","75.33","50.48","378.04","144.20","244.36","419.78","825.75","374.17","239.31","37.36","137.77","194.10","186.69","176.15","105.87","374.03","146.41","144.16","1,665.32","290.85","106.80","93.90","94.00","98.77","95.01","379.72",
="09:28:45","16,951.81","14,676.36","18,391.40","15,163.48","163.96","2,105.47","228.97","598.84","318.62","107.67","130.07","153.32","75.29","50.48","378.04","144.19","244.36","419.80","825.43","374.17","239.29","37.36","137.51","194.01","186.69","176.17","105.55","374.03","146.43","144.13","1,665.30","290.85","106.80","93.90","94.00","98.77","95.01","379.73",
="09:28:50","16,950.63","14,675.02","18,391.55","15,162.98","163.84","2,105.58","228.97","598.72","318.60","107.57","130.09","153.34","75.29","50.48","378.04","144.18","244.36","419.80","825.34","374.14","239.18","37.36","137.49","194.00","186.68","176.21","105.55","374.03","146.48","144.14","1,665.46","290.85","106.80","93.90","93.96","98.78","95.01","379.66",
="09:28:55","16,953.09","14,677.30","18,391.43","15,162.42","163.84","2,105.58","228.97","598.60","318.68","107.68","130.09","153.34","75.30","50.48","378.04","144.18","244.36","419.84","825.53","374.18","239.21","37.36","137.74","194.07","186.68","176.24","105.55","374.03","146.36","144.18","1,665.56","290.84","106.80","93.90","93.98","98.78","95.01","379.65",
="09:29:00","16,951.15","14,675.41","18,391.56","15,162.57","163.97","2,105.33","228.97","598.60","318.69","107.69","130.10","153.34","75.31","50.48","378.04","144.18","244.36","419.76","825.38","374.17","239.13","37.36","137.48","194.07","186.68","176.49","105.55","374.06","146.34","144.22","1,665.56","290.85","106.80","93.90","93.98","98.78","95.01","379.65",
="09:29:05","16,950.93","14,675.39","18,389.90","15,161.29","163.72","2,105.33","228.97","598.60","318.63","107.69","130.08","153.33","75.28","50.49","378.22","144.05","244.36","419.83","825.41","374.19","239.18","37.35","137.50","194.00","186.68","176.49","105.55","374.06","146.37","144.17","1,665.39","290.85","106.80","93.82","93.98","98.85","95.01","379.64",
="09:29:10","16,943.46","14,667.88","18,391.18","15,162.14","163.84","2,105.33","228.97","598.38","318.63","107.69","130.07","153.27","75.30","50.49","378.17","144.18","244.36","419.82","824.79","373.71","239.25","37.35","137.50","193.99","186.68","176.27","105.55","374.06","146.35","144.23","1,665.56","290.85","106.80","93.90","93.98","98.84","95.01","379.64",
="09:29:15","16,950.38","14,674.90","18,391.28","15,163.12","163.84","2,105.71","228.97","598.64","318.81","107.69","130.07","153.24","75.32","50.49","378.11","144.18","244.40","419.77","825.33","374.16","239.12","37.35","137.51","194.00","186.59","176.27","105.55","374.06","146.35","144.26","1,665.35","290.85","106.80","93.82","93.98","98.84","95.01","379.64",
="09:29:20","16,949.40","14,674.10","18,390.00","15,162.18","163.65","2,105.71","228.97","598.76","318.74","107.68","130.05","153.24","75.30","50.49","377.99","144.09","244.40","419.77","825.28","374.14","239.12","37.35","137.52","193.94","186.59","176.33","105.55","374.06","146.40","144.26","1,665.21","290.85","106.80","93.82","93.98","98.84","95.01","379.70",
="09:29:25","16,951.38","14,675.25","18,393.93","15,164.07","163.72","2,107.15","228.98","598.88","318.73","107.61","130.06","153.24","75.31","50.48","377.87","144.19","244.40","419.74","825.33","374.13","239.27","37.35","137.51","193.93","186.59","176.27","105.55","374.05","146.44","144.26","1,665.89","290.85","106.80","93.82","93.98","98.84","95.01","379.70",
="09:29:30","16,944.28","14,668.31","18,394.60","15,164.88","163.72","2,107.32","228.98","599.00","318.66","107.61","130.07","153.25","75.31","50.48","377.87","144.21","244.40","419.81","824.77","373.68","239.23","37.35","137.53","194.01","186.60","176.28","105.57","374.03","146.54","144.26","1,665.89","290.85","106.80","93.82","93.96","98.77","95.01","379.71",
="09:29:35","16,953.63","14,678.14","18,392.04","15,164.26","163.72","2,105.91","228.98","599.11","318.73","107.69","130.08","153.25","75.32","50.48","377.99","144.21","244.40","419.86","825.56","374.16","239.18","37.35","137.51","194.01","186.66","176.57","105.89","374.03","146.46","144.29","1,665.29","290.86","106.80","93.82","93.96","98.77","95.01","379.71",
="09:29:40","16,953.50","14,676.39","18,398.26","15,165.89","163.84","2,105.85","229.26","598.92","318.73","107.68","130.06","153.24","75.31","50.48","377.87","144.19","244.40","419.86","825.38","374.11","239.14","37.35","137.78","193.95","186.66","176.39","105.58","374.03","146.41","144.30","1,666.71","290.78","106.80","93.82","93.98","98.78","95.01","379.72",
="09:29:45","16,956.82","14,679.59","18,399.34","15,167.02","163.72","2,107.29","229.26","599.01","318.74","107.61","130.08","153.28","75.31","50.58","377.57","144.19","244.40","419.86","825.61","374.18","239.10","37.34","137.75","193.96","186.66","176.36","105.89","374.04","146.49","144.32","1,666.75","290.78","106.80","93.82","93.98","98.78","95.01","379.73",
="09:29:50","16,956.17","14,678.96","18,398.82","15,166.40","163.72","2,107.26","229.26","598.85","318.72","107.70","130.08","153.28","75.31","50.46","377.57","144.17","244.25","419.81","825.57","374.16","239.06","37.35","137.75","193.95","186.67","176.44","105.91","374.05","146.48","144.30","1,666.75","290.85","106.79","93.82","93.96","98.78","95.00","379.73",
="09:29:55","16,952.49","14,675.50","18,398.38","15,166.39","163.72","2,107.26","229.26","598.85","318.75","107.69","130.07","153.25","75.31","50.46","377.57","144.17","244.25","419.90","825.30","374.08","238.87","37.35","137.52","193.93","186.67","176.41","105.91","374.05","146.46","144.31","1,666.62","290.85","106.79","93.82","93.96","98.78","95.00","379.74",
="09:30:00","16,954.02","14,677.15","18,396.99","15,165.26","163.72","2,107.33","229.17","598.93","318.76","107.61","130.08","153.27","75.31","50.46","377.69","144.18","244.21","419.80","825.46","374.11","238.97","37.35","137.78","193.89","186.67","176.40","105.90","374.09","146.43","144.31","1,666.49","290.85","106.79","93.82","93.94","98.78","94.99","379.73",
="09:30:05","16,953.27","14,675.54","18,399.81","15,165.49","163.82","2,107.33","229.06","598.93","318.90","107.70","130.09","153.27","75.33","50.46","377.69","144.17","244.21","419.83","825.32","374.14","239.00","37.35","137.75","193.86","186.66","176.40","105.60","374.14","146.43","144.24","1,667.26","290.83","106.79","93.82","93.94","98.78","94.99","379.73",
="09:30:10","16,943.75","14,666.32","18,399.07","15,164.95","163.82","2,106.96","229.06","598.95","318.83","107.72","130.10","153.29","75.33","50.46","377.69","144.16","244.21","419.85","824.61","373.61","239.00","37.35","137.76","193.80","186.67","176.40","105.59","374.14","146.41","144.24","1,667.17","290.83","106.79","93.85","93.92","98.78","94.99","379.73",
="09:30:15","16,953.88","14,676.68","18,397.30","15,164.44","163.69","2,107.02","229.06","598.60","318.97","107.73","130.10","153.29","75.33","50.36","377.69","144.19","244.21","419.85","825.44","374.13","238.94","37.35","137.77","193.82","186.67","176.42","105.90","374.11","146.39","144.23","1,666.78","290.83","106.79","93.85","93.94","98.78","94.99","379.71",
="09:30:20","16,945.71","14,668.99","18,396.22","15,164.25","163.76","2,107.28","229.06","598.60","318.97","107.65","130.10","153.32","75.32","50.36","377.69","144.19","244.23","419.89","824.83","373.63","239.03","37.35","137.77","193.85","186.74","176.71","105.89","374.11","146.35","144.23","1,666.51","290.83","106.79","93.85","93.94","98.78","94.99","379.71",
="09:30:25","16,950.99","14,674.18","18,395.96","15,164.02","163.69","2,107.06","229.06","598.67","318.97","107.65","130.12","153.31","75.34","50.36","377.69","144.19","244.34","419.89","825.25","374.11","238.95","37.35","137.77","193.84","186.74","176.73","105.56","374.14","146.36","144.23","1,666.49","290.83","106.79","93.83","93.96","98.73","94.99","379.69",
="09:30:30","16,952.21","14,675.13","18,397.80","15,165.34","163.69","2,108.46","229.15","598.67","318.96","107.74","130.10","153.29","75.33","50.36","377.51","144.06","244.34","419.89","825.30","374.14","238.98","37.35","137.77","193.82","186.74","176.77","105.57","374.14","146.35","144.23","1,666.71","290.76","106.91","93.83","93.94","98.73","94.99","379.69",
="09:30:35","16,952.90","14,676.01","18,398.56","15,166.99","163.81","2,108.69","229.15","598.67","318.98","107.77","130.10","153.29","75.34","50.36","377.51","144.19","244.37","419.80","825.33","374.19","238.94","37.36","137.51","193.98","186.74","176.60","105.58","374.14","146.39","144.23","1,666.53","290.78","106.91","93.78","93.94","98.72","94.99","379.69",
